State,# of guns per capita,# of guns registered
Wyoming,229.24,"132,806"
Washington,68.05,"47,228"
New Hampshire,46.76,"64,135"
New Mexico,46.73,"97,580"
Virginia,36.34,"307,822"
Alabama,33.15,"161,641"
Idaho,28.86,"49,566"
Arkansas,26.57,"79,841"
Nevada,25.64,"76,888"
Arizona,25.61,"179,738"
Louisiana,24.94,"116,831"
South Dakota,24.29,"21,130"
Utah,23.48,"72,856"
Connecticut,22.96,"82,400"
Alaska,21.38,"15,824"
Montana,21.06,"22,133"
South Carolina,21.01,"105,601"
Texas,20.79,"588,696"
West Virginia,19.42,"35,264"
Pennsylvania,18.45,"236,377"
Georgia,18.22,"190,050"
Kentucky,18.2,"81,068"
Oklahoma,18.13,"71,269"
Kansas,18.06,"52,634"
North Dakota,17.56,"13,272"
Indiana,17.1,"114,019"
Maryland,17.03,"103,109"
Colorado,16.48,"92,435"
Florida,16.35,"343,288"
Ohio,14.87,"173,405"
North Carolina,14.818,"152,238"
Oregon,14.816,"61,383"
Tennessee,14.76,"99,159"
Minnesota,14.22,"79,307"
Washington,12.4,"91,835"
Missouri,11.94,"72,996"
Mississippi,11.89,"35,494"
Nebraska,11.57,"22,234"
Maine,11.5,"15,371"
Illinois,11.44,"146,487"
Wisconsin,11.19,"64,878"
Vermont,9.41,"5,872"
Iowa,9.05,"28,494"
California,8.71,"344,622"
Michigan,6.59,"65,742"
New Jersey,6.38,"57,507"
Hawaii,5.5,"7,859"
Massachusetts,5.41,"37,152"
Delaware,5.04,"4,852"
Rhode Island,3.98,"37,152"
New York,3.83,"76,207"
